Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Yogi Ferrell,SG,24.0,82.0,2282.0,11.4,0.54,13.5,6.1,0.4,1.4,9.1,17.0,1.5,1.5,3.0,0.064,-1.3,0.0,-1.4,0.4,2018
P.J. Tucker,PF,32.0,82.0,2281.0,8.3,0.537,4.6,11.3,1.0,1.7,13.7,10.5,1.0,3.0,3.9,0.082,-1.9,0.8,-1.1,0.5,2018
Al Horford,C,31.0,72.0,2277.0,17.6,0.575,23.6,12.7,2.9,0.9,14.1,18.4,4.0,3.8,7.8,0.165,2.4,2.0,4.4,3.7,2018
Trevor Ariza,SF,32.0,67.0,2269.0,11.8,0.567,6.8,7.3,0.5,2.1,7.0,14.4,2.6,2.8,5.3,0.113,0.0,0.7,0.7,1.5,2018
Justin Holiday,SG,28.0,72.0,2265.0,10.8,0.513,10.1,6.9,1.2,1.7,9.8,18.2,0.1,1.6,1.7,0.036,-1.6,-0.3,-1.9,0.0,2018
Ricky Rubio,PG,27.0,77.0,2254.0,15.4,0.537,28.4,8.8,0.4,2.7,18.1,22.9,1.5,3.8,5.3,0.112,-0.7,1.5,0.7,1.6,2018
J.R. Smith,SG,32.0,80.0,2244.0,8.4,0.534,8.6,5.9,0.4,1.5,11.6,13.8,0.6,0.9,1.4,0.031,-2.1,-0.9,-3.0,-0.6,2018
Kelly Oubre Jr.,SF,22.0,81.0,2231.0,11.9,0.534,6.4,9.2,1.4,1.8,9.2,19.4,1.4,2.3,3.7,0.08,-1.6,-0.1,-1.7,0.2,2018
Cory Joseph,PG,26.0,82.0,2210.0,11.0,0.503,16.1,6.7,0.7,1.8,11.9,14.8,1.2,2.0,3.1,0.068,-1.8,0.3,-1.5,0.3,2018
Allen Crabbe,SG,25.0,75.0,2197.0,12.3,0.558,8.4,7.8,1.2,1.0,8.1,19.0,1.8,1.4,3.2,0.07,0.0,-0.7,-0.7,0.7,2018
Julius Randle,C,23.0,82.0,2190.0,19.9,0.606,15.8,15.9,1.7,0.9,16.3,25.3,4.0,2.6,6.6,0.145,0.6,0.0,0.6,1.4,2018
DeMarre Carroll,PF,31.0,73.0,2180.0,14.3,0.55,10.5,11.7,1.0,1.3,10.3,19.8,2.3,1.8,4.1,0.091,0.5,-0.4,0.2,1.2,2018
Bogdan Bogdanović,SG,25.0,78.0,2175.0,13.5,0.556,18.3,5.8,0.7,1.7,13.2,19.6,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3,2018
Jimmy Butler,SG,28.0,59.0,2164.0,23.7,0.59,20.6,8.4,1.0,2.7,8.9,24.9,7.1,1.8,8.9,0.198,5.0,0.7,5.8,4.2,2018
Eric Gordon,SG,29.0,69.0,2154.0,15.2,0.578,11.7,4.4,1.1,1.0,10.8,24.7,2.9,1.8,4.7,0.105,2.0,-1.6,0.4,1.3,2018
Derrick Favors,C,26.0,77.0,2153.0,18.8,0.593,7.8,14.6,3.2,1.3,9.9,18.5,4.5,3.5,8.0,0.179,0.9,0.7,1.5,1.9,2018
Jaylen Brown,SG,21.0,70.0,2152.0,13.6,0.562,8.5,8.8,1.0,1.6,12.0,21.4,1.2,3.2,4.5,0.1,-0.8,0.3,-0.5,0.8,2018
T.J. Warren,SF,24.0,65.0,2142.0,17.6,0.541,7.2,8.3,1.5,1.5,6.7,24.9,2.6,0.8,3.4,0.077,0.8,-1.6,-0.7,0.7,2018
Wesley Matthews,SF,31.0,63.0,2131.0,11.4,0.541,12.3,5.2,0.7,1.8,10.1,17.6,1.0,1.6,2.6,0.059,-1.0,0.1,-0.9,0.6,2018
JJ Redick,SG,33.0,70.0,2116.0,15.9,0.614,15.1,4.5,0.2,0.8,9.6,21.7,4.8,1.8,6.6,0.15,2.2,-1.1,1.1,1.7,2018
Patty Mills,PG,29.0,82.0,2107.0,11.8,0.558,16.0,4.1,0.4,1.3,12.6,17.8,2.0,2.1,4.1,0.093,-0.6,-0.4,-1.0,0.5,2018
Denzel Valentine,SG,24.0,77.0,2095.0,12.1,0.527,17.8,10.1,0.5,1.5,11.8,17.5,1.0,1.5,2.5,0.057,-1.0,0.0,-1.0,0.5,2018
Serge Ibaka,PF,28.0,76.0,2093.0,14.7,0.574,4.4,12.8,3.8,0.7,9.7,19.4,2.1,3.0,5.1,0.117,-0.1,0.0,-0.1,1.0,2018
Jae Crowder,SF,27.0,80.0,2090.0,10.4,0.525,6.9,7.4,0.9,1.5,9.1,17.3,1.0,1.6,2.6,0.06,-1.9,-0.6,-2.5,-0.3,2018
Jae Crowder,SF,27.0,53.0,1346.0,10.2,0.545,6.0,7.2,0.8,1.5,9.2,15.1,1.1,0.6,1.7,0.059,-1.9,-1.0,-3.0,-0.3,2018
Jae Crowder,SF,27.0,27.0,744.0,10.8,0.499,8.6,7.8,1.0,1.6,9.1,21.3,-0.1,1.0,0.9,0.06,-1.9,0.2,-1.7,0.1,2018
Jusuf Nurkić,C,23.0,79.0,2088.0,19.2,0.528,11.7,18.5,4.3,1.5,14.6,26.4,0.8,3.9,4.7,0.108,-1.1,1.1,0.0,1.1,2018
Dennis Schröder,PG,24.0,67.0,2078.0,17.3,0.515,36.2,5.6,0.2,1.7,12.7,30.4,1.5,1.0,2.6,0.059,1.2,-1.9,-0.6,0.7,2018
Marcin Gortat,C,33.0,82.0,2075.0,14.7,0.546,10.6,17.0,2.6,1.0,13.5,15.5,2.4,2.4,4.9,0.113,-0.8,0.3,-0.6,0.8,2018
Al-Farouq Aminu,PF,27.0,69.0,2072.0,12.0,0.522,5.8,13.8,1.6,1.9,11.3,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3,2018
Dragan Bender,PF,20.0,82.0,2069.0,7.1,0.524,8.9,9.3,2.1,0.5,18.1,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9,2018
Terry Rozier,PG,23.0,80.0,2068.0,15.1,0.52,17.5,9.9,0.8,1.9,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1,2018
Austin Rivers,SG,25.0,61.0,2057.0,12.6,0.526,17.5,3.9,0.6,1.7,11.1,20.6,1.4,1.0,2.4,0.056,-0.3,-0.9,-1.2,0.4,2018
Tony Snell,SG,26.0,75.0,2053.0,8.5,0.578,6.5,4.0,1.2,1.1,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1,2018
Tyler Johnson,PG,25.0,72.0,2052.0,13.0,0.549,12.4,6.8,1.4,1.5,9.5,18.6,1.9,2.3,4.2,0.097,-0.5,0.2,-0.3,0.9,2018
Dennis Smith Jr.,PG,20.0,69.0,2049.0,12.8,0.473,29.5,7.0,0.8,1.7,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.2,-1.2,-2.4,-0.2,2018
Willie Cauley-Stein,C,24.0,73.0,2044.0,17.6,0.529,13.7,14.2,3.1,1.9,11.0,21.8,1.7,2.2,3.9,0.092,-0.4,0.3,-0.1,1.0,2018
Ish Smith,PG,29.0,82.0,2043.0,15.4,0.525,28.4,6.1,0.9,1.6,11.2,20.8,2.4,2.0,4.4,0.102,-0.3,0.3,0.0,1.0,2018
Wayne Ellington,SG,30.0,77.0,2041.0,12.5,0.588,5.9,6.0,0.3,1.3,6.6,17.3,2.6,1.9,4.5,0.105,1.0,-0.6,0.4,1.2,2018
