Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Scottie Barnes,SF,21.0,77.0,76.0,34.8,15.3,6.6,4.8,1.1,0.8,2.0,0.456,0.281,0.772,2023
Wendell Carter Jr.,C,23.0,57.0,54.0,29.6,15.2,8.7,2.3,0.5,0.6,1.9,0.525,0.356,0.738,2023
Kevin Huerter,SG,24.0,75.0,75.0,29.4,15.2,3.3,2.9,1.1,0.3,1.3,0.485,0.402,0.725,2023
Khris Middleton,SF,31.0,33.0,19.0,24.3,15.1,4.2,4.9,0.7,0.2,2.2,0.436,0.315,0.902,2023
Harrison Barnes,PF,30.0,82.0,82.0,32.5,15.0,4.5,1.6,0.7,0.1,1.0,0.473,0.374,0.847,2023
Malcolm Brogdon,PG,30.0,67.0,0.0,26.0,14.9,4.2,3.7,0.7,0.3,1.5,0.484,0.444,0.87,2023
Immanuel Quickley,SG,23.0,81.0,21.0,28.9,14.9,4.2,3.4,1.0,0.2,1.2,0.448,0.37,0.819,2023
Alperen Şengün,C,20.0,75.0,72.0,28.9,14.8,9.0,3.9,0.9,0.9,2.6,0.553,0.333,0.715,2023
Tobias Harris,SF,30.0,74.0,74.0,32.9,14.7,5.7,2.5,0.9,0.5,1.2,0.501,0.389,0.876,2023
Gordon Hayward,SF,32.0,50.0,50.0,31.5,14.7,4.3,4.1,0.8,0.2,2.0,0.475,0.325,0.811,2023
Trey Murphy III,SF,22.0,79.0,65.0,31.0,14.5,3.6,1.4,1.1,0.5,0.8,0.484,0.406,0.905,2023
Tim Hardaway Jr.,SF,30.0,71.0,45.0,30.3,14.4,3.5,1.8,0.7,0.2,0.8,0.401,0.385,0.77,2023
Jarrett Allen,C,24.0,68.0,68.0,32.6,14.3,9.8,1.7,0.8,1.2,1.4,0.644,0.1,0.733,2023
Dillon Brooks,SF,27.0,73.0,73.0,30.3,14.3,3.3,2.6,0.9,0.2,1.4,0.396,0.326,0.779,2023
Collin Sexton,PG,24.0,48.0,15.0,23.9,14.3,2.2,2.9,0.6,0.1,1.8,0.506,0.393,0.819,2023
Bobby Portis,PF,27.0,70.0,22.0,26.0,14.1,9.6,1.5,0.4,0.2,1.2,0.496,0.37,0.768,2023
Jonas Valančiūnas,C,30.0,79.0,79.0,24.9,14.1,10.2,1.8,0.3,0.7,2.0,0.547,0.349,0.826,2023
Jalen Williams,SG,21.0,75.0,62.0,30.3,14.1,4.5,3.3,1.4,0.5,1.6,0.521,0.356,0.812,2023
Bogdan Bogdanović,SG,30.0,54.0,9.0,27.9,14.0,3.1,2.8,0.8,0.3,1.2,0.447,0.406,0.831,2023
Markelle Fultz,PG,24.0,60.0,60.0,29.6,14.0,3.9,5.7,1.5,0.4,2.3,0.514,0.31,0.783,2023
Chris Paul,PG,37.0,59.0,59.0,32.0,13.9,4.3,8.9,1.5,0.4,1.9,0.44,0.375,0.831,2023
Saddiq Bey,SF,23.0,77.0,37.0,27.6,13.8,4.7,1.5,0.9,0.2,0.9,0.422,0.361,0.861,2023
Saddiq Bey,SF,23.0,52.0,30.0,28.8,14.8,4.7,1.6,1.0,0.2,1.0,0.404,0.345,0.861,2023
Saddiq Bey,SF,23.0,25.0,7.0,25.2,11.6,4.8,1.4,0.8,0.0,0.7,0.47,0.4,0.862,2023
Luguentz Dort,SF,23.0,74.0,73.0,30.7,13.7,4.6,2.1,1.0,0.3,1.2,0.388,0.33,0.772,2023
Malik Monk,SG,24.0,77.0,0.0,22.3,13.5,2.6,3.9,0.6,0.3,1.9,0.448,0.359,0.889,2023
Rudy Gobert,C,30.0,70.0,70.0,30.7,13.4,11.6,1.2,0.8,1.4,1.7,0.659,0.0,0.644,2023
Jusuf Nurkić,C,28.0,52.0,52.0,26.8,13.3,9.1,2.9,0.8,0.8,2.3,0.519,0.361,0.661,2023
Kris Dunn,PG,28.0,22.0,3.0,25.8,13.2,4.5,5.6,1.1,0.5,1.6,0.537,0.472,0.774,2023
John Collins,PF,25.0,71.0,71.0,30.0,13.1,6.5,1.2,0.6,1.0,1.1,0.508,0.292,0.803,2023
Cole Anthony,PG,22.0,60.0,4.0,25.9,13.0,4.8,3.9,0.6,0.5,1.5,0.454,0.364,0.894,2023
Austin Reaves,SG,24.0,64.0,22.0,28.8,13.0,3.0,3.4,0.5,0.3,1.5,0.529,0.398,0.864,2023
Tre Jones,PG,23.0,68.0,65.0,29.2,12.9,3.6,6.6,1.3,0.1,1.6,0.459,0.285,0.86,2023
Alec Burks,SG,31.0,51.0,8.0,22.0,12.8,3.1,2.2,0.7,0.2,1.1,0.436,0.414,0.814,2023
Jabari Smith Jr.,PF,19.0,79.0,79.0,31.0,12.8,7.2,1.3,0.5,0.9,1.3,0.408,0.307,0.786,2023
Malik Beasley,SG,26.0,81.0,27.0,25.8,12.7,3.5,1.5,0.8,0.1,1.1,0.395,0.357,0.769,2023
Malik Beasley,SG,26.0,55.0,13.0,26.8,13.4,3.6,1.7,0.8,0.1,1.1,0.396,0.359,0.841,2023
Malik Beasley,SG,26.0,26.0,14.0,23.9,11.1,3.3,1.2,0.8,0.0,1.2,0.392,0.353,0.619,2023
KJ Martin,SF,22.0,82.0,49.0,28.0,12.7,5.5,1.5,0.5,0.4,1.1,0.569,0.315,0.68,2023
Nic Claxton,C,23.0,76.0,76.0,29.9,12.6,9.2,1.9,0.9,2.5,1.3,0.705,0.0,0.541,2023
Dennis Schröder,PG,29.0,66.0,50.0,30.1,12.6,2.5,4.5,0.8,0.2,1.7,0.415,0.329,0.857,2023
Jakob Poeltl,C,27.0,72.0,71.0,26.5,12.5,9.1,2.7,0.9,1.2,1.7,0.629,0.0,0.592,2023
Jakob Poeltl,C,27.0,46.0,46.0,26.1,12.1,9.0,3.1,0.8,1.1,2.1,0.616,0.0,0.605,2023
Jakob Poeltl,C,27.0,26.0,25.0,27.2,13.1,9.1,2.2,1.2,1.3,1.1,0.652,,0.569,2023
Kelly Olynyk,C,31.0,68.0,68.0,28.6,12.5,6.2,3.7,0.9,0.5,2.5,0.499,0.394,0.853,2023
Eric Gordon,SG,34.0,69.0,58.0,28.5,12.4,1.9,2.7,0.6,0.4,1.5,0.446,0.371,0.821,2023
Eric Gordon,SG,34.0,47.0,47.0,30.2,13.1,2.1,2.9,0.6,0.4,1.8,0.439,0.347,0.815,2023
Eric Gordon,SG,34.0,22.0,11.0,24.9,11.0,1.7,2.1,0.6,0.4,1.0,0.463,0.423,0.842,2023
Derrick White,SG,28.0,82.0,70.0,28.3,12.4,3.6,3.9,0.7,0.9,1.2,0.462,0.381,0.875,2023
Keegan Murray,SF,22.0,80.0,78.0,29.8,12.2,4.6,1.2,0.8,0.5,0.8,0.453,0.411,0.765,2023
Caris LeVert,SG,28.0,74.0,30.0,30.2,12.1,3.8,3.9,1.0,0.3,1.6,0.431,0.392,0.722,2023
Jaden McDaniels,SF,22.0,79.0,79.0,30.6,12.1,3.9,1.9,0.9,1.0,1.4,0.517,0.398,0.736,2023
Marvin Bagley III,C,23.0,42.0,25.0,23.6,12.0,6.4,0.9,0.5,0.7,1.1,0.529,0.288,0.75,2023
Clint Capela,C,28.0,65.0,63.0,26.6,12.0,11.0,0.9,0.7,1.2,0.8,0.653,0.0,0.603,2023
Mike Conley,PG,35.0,67.0,66.0,30.3,11.9,2.7,6.7,1.1,0.2,1.5,0.428,0.385,0.834,2023
Mike Conley,PG,35.0,43.0,42.0,29.7,10.7,2.5,7.7,1.0,0.2,1.7,0.408,0.362,0.813,2023
Mike Conley,PG,35.0,24.0,24.0,31.4,14.0,3.1,5.0,1.2,0.2,1.2,0.46,0.42,0.863,2023
