Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Zach LaVine,SG,25.0,58.0,2034.0,21.5,0.634,23.4,7.9,1.2,1.1,13.9,31.0,4.0,1.8,5.9,0.138,4.9,-0.8,4.0,3.1,2021
Zion Williamson,PF,20.0,61.0,2026.0,27.1,0.649,19.7,11.8,1.8,1.3,11.6,29.8,7.1,1.6,8.7,0.205,6.1,-0.3,5.8,4.0,2021
Tobias Harris,PF,28.0,62.0,2014.0,20.0,0.597,17.6,11.4,2.3,1.3,9.5,23.9,4.1,3.1,7.1,0.17,2.9,0.8,3.7,2.9,2021
Giannis Antetokounmpo,PF,26.0,61.0,2013.0,29.2,0.633,28.7,17.5,3.2,1.7,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9.0,5.6,2021
Pascal Siakam,PF,26.0,56.0,2006.0,17.7,0.547,20.5,11.1,1.8,1.5,10.6,26.3,2.3,2.0,4.2,0.101,1.0,-0.3,0.8,1.4,2021
Jaylen Brown,SG,24.0,58.0,1999.0,19.9,0.586,16.5,9.7,1.5,1.8,11.5,29.7,2.8,2.0,4.8,0.115,3.2,-0.7,2.5,2.3,2021
Dillon Brooks,SF,25.0,67.0,1997.0,12.1,0.515,11.7,5.2,1.2,1.9,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.1,-3.7,-0.9,2021
Kelly Olynyk,PF,29.0,70.0,1997.0,16.4,0.61,16.0,13.6,2.1,1.9,14.0,19.7,2.5,2.6,5.1,0.121,0.3,0.9,1.2,1.6,2021
Kelly Olynyk,C,29.0,43.0,1157.0,12.1,0.549,11.7,12.9,2.4,1.7,12.3,17.5,0.3,1.6,1.9,0.078,-1.6,1.0,-0.7,0.4,2021
Kelly Olynyk,PF,29.0,27.0,840.0,22.3,0.674,21.9,14.5,1.7,2.2,15.7,22.9,2.2,1.0,3.2,0.182,2.9,0.9,3.8,1.2,2021
Tim Hardaway Jr.,SG,28.0,70.0,1985.0,15.7,0.589,9.8,6.4,0.5,0.8,6.1,23.4,3.2,1.2,4.3,0.105,2.0,-1.7,0.4,1.2,2021
Patrick Williams,PF,19.0,71.0,1983.0,10.5,0.562,6.7,9.1,2.0,1.6,14.4,14.9,0.3,2.2,2.5,0.06,-2.8,0.4,-2.4,-0.2,2021
Draymond Green,PF,30.0,63.0,1982.0,13.3,0.53,36.4,12.0,2.3,2.5,31.0,13.1,1.2,3.4,4.6,0.112,-1.6,3.3,1.7,1.9,2021
Keldon Johnson,SF,21.0,69.0,1968.0,13.8,0.557,8.9,11.1,1.0,1.0,9.0,19.2,1.6,1.7,3.3,0.079,-0.9,-0.7,-1.6,0.2,2021
Dennis Schröder,SG,27.0,61.0,1956.0,13.8,0.543,26.9,6.1,0.6,1.7,15.8,22.9,1.0,2.7,3.8,0.093,-1.3,0.2,-1.1,0.4,2021
Kyle Kuzma,SF,25.0,68.0,1954.0,12.7,0.546,9.8,12.0,1.9,0.9,12.4,20.3,0.4,2.9,3.3,0.08,-0.4,-0.1,-0.4,0.8,2021
P.J. Washington,PF,22.0,64.0,1954.0,13.4,0.549,12.2,11.6,4.0,1.7,14.6,19.4,0.3,2.4,2.7,0.066,-1.5,0.6,-0.9,0.6,2021
Reggie Bullock,SF,29.0,65.0,1949.0,11.1,0.606,7.4,6.2,0.5,1.3,7.1,14.4,2.3,2.3,4.6,0.114,-0.9,0.8,-0.1,0.9,2021
Danny Green,SF,33.0,69.0,1934.0,12.1,0.582,8.3,7.4,2.6,2.3,10.7,14.0,1.6,3.1,4.6,0.115,0.4,1.5,1.9,1.9,2021
Miles Bridges,PF,22.0,66.0,1932.0,14.7,0.625,11.4,11.1,2.7,1.1,13.6,17.3,2.4,1.9,4.2,0.105,0.2,0.1,0.2,1.1,2021
Malcolm Brogdon,PG,28.0,56.0,1930.0,17.9,0.561,25.7,8.3,0.6,1.2,9.8,25.9,2.9,1.3,4.2,0.105,3.0,-0.9,2.1,2.0,2021
Dorian Finney-Smith,PF,27.0,60.0,1921.0,12.0,0.609,7.2,9.3,1.2,1.3,9.0,12.2,2.8,1.6,4.4,0.11,0.2,0.0,0.1,1.0,2021
Michael Porter Jr.,SF,22.0,61.0,1912.0,20.6,0.663,5.6,13.2,2.8,1.0,8.1,21.7,4.8,2.1,6.9,0.173,4.0,-0.9,3.1,2.5,2021
Saddiq Bey,SF,21.0,70.0,1909.0,12.6,0.567,7.6,9.3,0.6,1.3,7.4,18.7,1.6,1.7,3.3,0.082,0.3,-0.8,-0.5,0.7,2021
Jrue Holiday,PG,30.0,59.0,1907.0,20.0,0.592,26.3,7.4,1.7,2.4,12.6,22.2,4.3,2.2,6.6,0.165,2.8,0.6,3.4,2.6,2021
Brook Lopez,C,32.0,70.0,1902.0,15.4,0.611,3.5,9.6,4.8,1.0,8.3,16.9,3.1,2.2,5.3,0.133,0.0,0.0,0.0,0.9,2021
Kentavious Caldwell-Pope,SG,27.0,67.0,1902.0,10.7,0.588,9.2,5.3,1.2,1.6,10.6,14.2,1.6,2.6,4.2,0.107,-1.6,1.0,-0.5,0.7,2021
Fred VanVleet,SG,26.0,52.0,1899.0,16.8,0.534,26.7,6.4,2.0,2.2,9.1,23.9,2.4,1.8,4.3,0.108,2.2,0.2,2.5,2.2,2021
Clint Capela,C,26.0,63.0,1898.0,24.3,0.601,4.1,26.1,6.0,1.1,8.4,19.9,4.9,3.3,8.2,0.207,2.7,0.0,2.7,2.2,2021
Kyle Anderson,PF,27.0,69.0,1887.0,17.2,0.578,18.3,11.1,2.7,2.1,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5,2021
Kyrie Irving,PG,28.0,54.0,1886.0,24.4,0.614,28.6,7.5,1.7,1.9,9.9,30.4,5.8,1.6,7.4,0.189,5.7,-0.2,5.5,3.6,2021
Ben Simmons,PG,24.0,58.0,1877.0,18.3,0.584,31.3,12.2,1.7,2.4,19.6,20.2,2.7,3.3,6.0,0.153,0.7,2.2,2.9,2.3,2021
Joe Ingles,SF,33.0,67.0,1867.0,15.9,0.672,24.0,6.9,0.5,1.2,16.3,16.6,4.7,2.3,7.0,0.18,2.6,0.9,3.5,2.6,2021
Jarrett Allen,C,22.0,63.0,1864.0,20.1,0.661,8.7,18.9,4.3,0.8,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,2021
Jarrett Allen,C,22.0,51.0,1544.0,19.8,0.649,8.8,18.3,4.1,0.8,13.1,16.8,3.4,1.6,5.0,0.155,1.2,-0.4,0.8,1.1,2021
Dwayne Bacon,SG,25.0,72.0,1853.0,9.9,0.49,7.9,6.3,0.2,1.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.7,-1.4,-5.1,-1.5,2021
John Collins,PF,23.0,63.0,1848.0,20.6,0.645,6.9,13.8,3.0,0.9,8.9,22.2,4.8,1.9,6.7,0.174,2.5,-0.2,2.3,2.0,2021
Jakob Poeltl,C,25.0,69.0,1845.0,17.5,0.612,10.1,15.8,5.7,1.2,14.6,13.4,3.2,2.5,5.7,0.148,-0.5,1.2,0.8,1.3,2021
Jeff Green,PF,34.0,68.0,1835.0,13.0,0.624,7.8,7.9,1.3,0.9,8.2,15.6,2.9,1.2,4.1,0.107,0.0,-0.9,-0.8,0.5,2021
Nicolas Batum,SF,32.0,67.0,1835.0,12.9,0.617,10.5,9.7,1.8,1.9,10.8,11.8,2.7,2.3,5.0,0.132,0.6,1.5,2.1,1.9,2021
Jerami Grant,SF,26.0,54.0,1829.0,16.9,0.556,14.3,7.6,2.8,0.9,9.1,28.5,1.6,1.6,3.2,0.083,1.9,-0.8,1.1,1.4,2021
Paul George,SF,30.0,54.0,1821.0,20.5,0.598,24.6,11.1,1.2,1.7,14.5,30.0,3.0,2.3,5.3,0.139,3.9,0.3,4.2,2.9,2021
Jordan Clarkson,SG,28.0,68.0,1818.0,17.1,0.549,15.3,8.0,0.4,1.6,9.2,29.7,1.7,2.5,4.2,0.111,1.8,-0.4,1.4,1.6,2021
Donte DiVincenzo,SG,24.0,66.0,1814.0,13.0,0.542,14.2,11.0,0.7,1.9,12.5,16.7,1.5,2.1,3.6,0.095,-0.2,0.4,0.2,1.0,2021
Gary Trent Jr.,SG,22.0,58.0,1802.0,12.1,0.534,6.6,4.6,0.5,1.5,4.9,20.9,1.0,0.7,1.7,0.045,-0.5,-1.7,-2.3,-0.1,2021
Gary Trent Jr.,SG,22.0,41.0,1262.0,12.4,0.55,6.7,3.9,0.4,1.4,5.3,20.1,1.2,0.3,1.5,0.056,-0.1,-1.8,-1.9,0.0,2021
Rui Hachimura,PF,22.0,57.0,1797.0,11.4,0.549,6.3,9.2,0.3,1.1,8.6,18.1,0.7,1.4,2.1,0.056,-2.2,-1.0,-3.1,-0.5,2021
T.J. McConnell,PG,28.0,69.0,1796.0,16.9,0.583,34.3,7.7,1.0,3.4,20.9,15.3,2.6,2.2,4.8,0.128,-0.2,1.7,1.4,1.5,2021
Josh Richardson,SG,27.0,59.0,1790.0,11.9,0.537,12.1,6.0,1.2,1.7,10.6,18.4,1.0,1.4,2.4,0.066,-1.5,-0.2,-1.7,0.1,2021
Darius Garland,PG,21.0,54.0,1790.0,14.2,0.547,30.9,4.0,0.3,1.8,16.0,24.9,0.3,0.9,1.2,0.033,0.0,-2.1,-2.1,-0.1,2021
Richaun Holmes,C,27.0,61.0,1782.0,20.2,0.669,8.3,15.7,4.6,1.1,10.3,17.5,4.7,1.4,6.1,0.165,0.6,0.0,0.6,1.2,2021
Théo Maledon,PG,19.0,65.0,1778.0,8.2,0.489,18.8,6.2,0.5,1.5,17.3,19.4,-1.9,1.1,-0.8,-0.021,-4.0,-1.0,-5.0,-1.3,2021
Kawhi Leonard,SF,29.0,52.0,1773.0,26.0,0.622,24.9,10.7,1.1,2.3,9.2,28.6,6.4,2.4,8.8,0.238,6.0,1.3,7.3,4.2,2021
Ricky Rubio,PG,30.0,68.0,1772.0,13.5,0.516,33.3,6.8,0.2,2.6,16.4,16.0,1.9,1.3,3.1,0.085,-1.9,0.0,-1.9,0.0,2021
Donovan Mitchell,PG,24.0,53.0,1771.0,21.3,0.569,26.7,7.0,0.7,1.4,10.7,33.5,3.9,2.2,6.2,0.167,4.6,-0.2,4.3,2.8,2021
Enes Freedom,C,28.0,72.0,1758.0,22.4,0.636,7.2,24.2,2.4,0.9,11.0,17.4,5.7,1.7,7.5,0.204,2.1,-1.4,0.6,1.2,2021
Jonas Valančiūnas,C,28.0,62.0,1755.0,24.4,0.636,10.0,23.4,2.9,1.0,10.7,22.4,5.1,2.6,7.8,0.213,3.2,-0.3,3.0,2.2,2021
Delon Wright,PG,28.0,63.0,1748.0,16.3,0.562,23.0,8.6,1.5,2.8,12.6,16.3,2.5,1.8,4.3,0.117,0.6,1.5,2.2,1.8,2021
Delon Wright,PG,28.0,36.0,1052.0,16.5,0.562,25.7,8.7,1.6,2.7,12.6,15.8,1.7,1.3,2.9,0.134,0.7,2.2,2.8,1.2,2021
Delon Wright,PG,28.0,27.0,696.0,15.9,0.563,18.9,8.4,1.3,3.0,12.7,17.1,0.8,0.5,1.3,0.092,0.5,0.6,1.2,0.6,2021
Lonzo Ball,PG,23.0,55.0,1747.0,15.2,0.551,25.4,8.2,1.7,2.3,14.5,20.5,1.5,1.7,3.2,0.089,1.4,0.3,1.7,1.6,2021
Tyrese Haliburton,PG,20.0,58.0,1746.0,16.2,0.585,24.6,5.5,1.4,2.1,12.5,18.1,2.8,0.7,3.5,0.096,1.9,-0.5,1.4,1.5,2021
Jimmy Butler,SF,31.0,52.0,1745.0,26.5,0.607,35.1,11.8,1.1,3.1,10.6,26.6,6.6,2.7,9.3,0.255,5.4,2.3,7.7,4.3,2021
Will Barton,SF,30.0,56.0,1736.0,11.8,0.538,14.1,7.4,1.3,1.4,12.7,19.0,0.7,1.5,2.2,0.061,-1.0,-0.8,-1.9,0.1,2021
Darius Bazley,PF,20.0,55.0,1714.0,9.7,0.491,8.9,12.0,1.3,0.8,13.7,22.1,-2.3,1.4,-0.9,-0.026,-3.1,-1.3,-4.4,-1.0,2021
Jamal Murray,PG,23.0,48.0,1704.0,18.3,0.592,20.3,6.5,0.7,1.9,11.2,24.8,3.1,1.5,4.6,0.129,2.7,-0.7,2.0,1.7,2021
Jalen Brunson,PG,24.0,68.0,1697.0,17.1,0.618,21.3,7.5,0.1,1.0,10.3,20.2,3.9,1.1,5.1,0.143,1.5,-0.6,0.9,1.2,2021
Carmelo Anthony,PF,36.0,69.0,1690.0,14.6,0.547,9.2,6.8,2.0,1.3,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4,2021
Karl-Anthony Towns,C,25.0,50.0,1689.0,23.1,0.612,22.6,17.0,2.9,1.1,13.7,29.1,3.8,1.6,5.4,0.153,4.3,0.2,4.5,2.8,2021
Kelly Oubre Jr.,SF,25.0,55.0,1687.0,13.3,0.529,6.5,10.4,2.2,1.6,8.0,22.1,0.0,2.2,2.2,0.062,-1.4,-0.5,-1.9,0.0,2021
Patty Mills,PG,32.0,68.0,1685.0,11.8,0.57,13.5,3.7,0.2,1.2,9.3,18.4,1.3,0.8,2.2,0.062,0.0,-1.2,-1.2,0.4,2021
Devonte' Graham,PG,25.0,55.0,1659.0,14.6,0.552,26.3,4.8,0.4,1.4,10.2,21.4,2.5,0.9,3.4,0.099,1.8,-1.1,0.7,1.1,2021
Thaddeus Young,PF,32.0,68.0,1652.0,20.3,0.578,27.1,14.2,2.1,2.2,16.1,22.3,2.8,2.2,5.1,0.147,1.9,1.4,3.3,2.2,2021
Kendrick Nunn,PG,25.0,56.0,1650.0,14.2,0.596,14.5,6.2,0.9,1.6,10.5,20.9,1.4,1.5,2.9,0.084,-0.1,-0.4,-0.5,0.6,2021
Jae Crowder,PF,30.0,60.0,1648.0,11.8,0.574,10.0,9.7,1.5,1.4,9.5,15.7,1.4,1.9,3.3,0.097,0.3,0.8,1.1,1.3,2021
Seth Curry,SG,30.0,57.0,1638.0,12.9,0.607,13.6,4.6,0.4,1.3,10.0,17.1,2.3,1.7,4.0,0.118,0.1,-0.4,-0.3,0.7,2021
Tyler Herro,SG,21.0,54.0,1635.0,13.3,0.543,18.0,9.4,1.1,1.1,11.9,23.5,0.1,1.6,1.7,0.049,-0.3,-1.0,-1.3,0.3,2021
Doug McDermott,PF,29.0,66.0,1619.0,15.6,0.635,7.8,7.4,0.3,0.6,7.0,20.0,3.1,0.7,3.8,0.112,1.4,-2.0,-0.6,0.6,2021
Ivica Zubac,C,23.0,72.0,1609.0,19.1,0.693,7.9,18.1,3.4,0.7,14.7,15.1,4.8,2.1,6.9,0.206,0.6,0.4,1.0,1.2,2021
James Harden,PG,31.0,44.0,1609.0,24.5,0.618,44.4,11.9,1.8,1.6,16.8,28.4,5.3,1.7,7.0,0.208,6.2,1.0,7.2,3.7,2021
James Harden,PG,31.0,36.0,1319.0,25.0,0.619,43.8,12.9,1.8,1.7,16.7,28.4,4.5,1.5,6.0,0.219,6.4,1.3,7.7,3.2,2021
Steven Adams,C,27.0,58.0,1605.0,15.1,0.596,9.1,17.4,2.2,1.6,17.5,11.7,2.3,1.7,4.0,0.119,-0.4,0.1,-0.3,0.7,2021
Kyle Lowry,PG,34.0,46.0,1601.0,16.5,0.593,31.8,8.5,0.9,1.4,15.9,21.4,2.9,1.3,4.1,0.124,2.0,-0.4,1.6,1.5,2021
Daniel Theis,C,28.0,65.0,1601.0,15.0,0.609,9.5,12.4,3.3,1.2,11.4,15.6,2.4,1.8,4.3,0.128,-0.7,0.7,0.0,0.8,2021
Daniel Theis,C,28.0,42.0,1027.0,15.0,0.625,9.3,11.9,3.9,1.2,11.4,15.0,1.7,1.2,2.9,0.134,-0.6,1.0,0.4,0.6,2021
Daniel Theis,C,28.0,23.0,574.0,14.9,0.584,10.0,13.1,2.1,1.4,11.3,16.8,0.7,0.7,1.4,0.116,-1.0,0.3,-0.7,0.2,2021
CJ McCollum,SG,29.0,47.0,1600.0,20.8,0.577,23.0,6.2,1.2,1.3,6.5,27.1,4.1,0.6,4.7,0.141,5.0,-1.1,3.9,2.4,2021
Joel Embiid,C,26.0,51.0,1585.0,30.3,0.636,16.2,18.7,3.9,1.5,12.2,35.3,5.6,3.2,8.8,0.266,6.3,1.2,7.5,3.8,2021
Marcus Smart,PG,26.0,48.0,1581.0,13.8,0.539,23.6,5.9,1.4,2.2,14.2,18.4,1.8,1.5,3.3,0.1,-0.4,0.2,-0.3,0.7,2021
Montrezl Harrell,C,27.0,69.0,1580.0,22.7,0.65,7.7,15.2,2.8,1.4,9.4,21.7,4.5,2.7,7.3,0.221,2.3,0.7,3.0,2.0,2021
Pat Connaughton,SG,28.0,69.0,1575.0,11.3,0.578,6.3,11.1,1.3,1.5,7.5,11.6,1.8,1.7,3.5,0.108,-0.5,0.5,0.0,0.8,2021
Josh Jackson,SG,23.0,62.0,1560.0,12.0,0.516,15.1,9.1,2.6,1.7,15.0,26.5,-1.6,1.7,0.1,0.004,-2.5,-0.5,-3.0,-0.4,2021
Nerlens Noel,C,26.0,64.0,1547.0,14.8,0.638,4.1,14.3,8.7,2.3,20.4,9.2,1.6,3.6,5.2,0.162,-2.4,3.8,1.4,1.3,2021
Reggie Jackson,SG,30.0,67.0,1544.0,14.2,0.576,19.0,7.0,0.4,1.3,10.6,19.9,2.3,1.4,3.7,0.115,0.6,-0.2,0.4,0.9,2021
