Player,season,cluster_kmeans,archetype,silhouette_val,PC1,PC2,PER,TS_pct,BPM,VORP,ast_pct,reb_pct,blk_pct,stl_pct,tov_pct
Al Horford,2021,2,Defensive Anchor,0.08390448397447213,1.8039969054905922,0.08467764747185466,17.4,0.538,3.4,1.1,20.1,12.5,2.9,1.5,7.3
Al Horford,2022,1,3-and-D Wing,0.013490519068605874,3.1506396133353305,-0.4878554403913085,16.7,0.574,4.3,3.2,16.4,14.3,4.2,1.2,9.6
Al Horford,2023,2,Defensive Anchor,0.13985319944428262,2.178639271351685,-0.7017074137564716,13.8,0.631,3.3,2.5,13.2,11.1,2.7,0.8,7.0
Al Horford,2024,5,Utility Bench,0.019257009636040563,2.6853621338809277,-0.7929960685821362,15.0,0.65,3.6,2.5,12.3,12.8,3.1,1.1,10.0
Al Jefferson,2016,2,Defensive Anchor,0.14912384552366464,0.7175112546405775,-1.1297178473531544,18.2,0.507,-0.5,0.4,11.8,15.0,3.0,1.4,5.8
Al Jefferson,2017,2,Defensive Anchor,0.20126816437093897,0.4388304381400711,-1.3072004285278205,18.9,0.526,-1.4,0.1,11.0,16.8,1.5,1.0,6.1
Al Jefferson,2018,5,Utility Bench,0.190486952207805,2.099989692912497,-1.5148192698720848,20.2,0.563,2.0,0.5,10.0,16.7,4.2,1.7,8.6
Al-Farouq Aminu,2016,2,Defensive Anchor,0.1345813647683089,0.24367559236482902,-0.22965160230024148,12.7,0.533,0.1,1.2,8.8,11.5,1.8,1.5,13.2
Al-Farouq Aminu,2017,0,Elite Scorer,0.017025399451926663,-0.4074717047689477,-0.536801747452604,11.3,0.506,-1.1,0.4,7.9,14.1,2.0,1.7,15.2
Al-Farouq Aminu,2018,0,Elite Scorer,0.02599923650451699,0.2936232447014961,-0.3570819497270583,12.0,0.522,0.4,1.3,5.8,13.8,1.6,1.9,11.3
Al-Farouq Aminu,2019,2,Defensive Anchor,0.22849045767425902,0.7486499807430712,-0.718937909633545,13.2,0.568,0.7,1.5,6.0,14.2,1.2,1.4,9.7
Al-Farouq Aminu,2021,4,Stretch Big,0.11608560997829458,-1.6000072288860239,0.019150934815844296,8.9,0.469,-3.8,-0.2,10.1,13.3,1.9,2.1,20.5
Alan Anderson,2017,4,Stretch Big,0.21206415616858082,-3.5188274622332756,-0.655322016778375,5.0,0.494,-6.1,-0.3,4.9,4.4,0.0,0.5,7.4
Alan Williams,2017,5,Utility Bench,0.21403673509966903,1.3645587923428724,-2.313251156617232,19.5,0.547,-1.3,0.1,5.2,22.4,3.7,1.8,10.5
Alec Burks,2016,2,Defensive Anchor,0.27210458067769694,-0.4912369760365226,0.4719893712710927,14.3,0.52,-0.4,0.3,13.9,8.0,0.4,1.2,11.4
Alec Burks,2017,4,Stretch Big,0.03636028455041913,-1.2753281129799585,-0.2866918607184546,11.6,0.501,-2.3,0.0,7.5,10.6,0.6,1.4,11.0
Alec Burks,2018,2,Defensive Anchor,0.13458557061989634,-0.4899715280792249,0.22892096530338102,13.1,0.527,-0.9,0.3,10.0,10.3,0.6,1.8,11.4
