rank,Player,archetype,Age,salary,salary_pct_cap,PER_predicted,PTS_predicted,WS_predicted,output_score,salary_score,age_factor,archetype_bonus,trade_value,tv_tier
1699,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.437987620670215,7.309278581392311,1.7305981382726376,0.279975474800972,1.0,0.93,0.1,-14.17990984784844,Fairly Valued
1700,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.437987620670215,7.309278581392311,1.7305981382726376,0.279975474800972,1.0,0.93,0.1,-14.17990984784844,Fairly Valued
1701,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.437987620670215,7.309278581392311,1.7305981382726376,0.279975474800972,1.0,0.93,0.1,-14.17990984784844,Fairly Valued
1702,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.437987620670215,7.309278581392311,1.7305981382726376,0.279975474800972,1.0,0.93,0.1,-14.17990984784844,Fairly Valued
1703,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1704,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1705,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1706,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1707,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1708,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1709,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1710,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
1711,Cameron Payne,Playmaking Guard,29.0,1000000.0,0.0073518059711368,11.96745561236272,7.9453638115445235,0.7755789879091535,0.2873990333548877,1.0,0.93,0.03,-14.2488941795742,Fairly Valued
